detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,threshold,threshold_mode,calibration_f1,synthetic_score_mean,normal_score_mean,synthetic_normal_score_gap,split_seed
iforest,compatibility_strict,compatibility_strict,fixed_policy,False,0.29937863562190437,synthetic_separation,0.007376227700942073,0.29983489579295985,0.4219438670428544,-0.12210897124989456,2
iforest,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.2991511276497192,synthetic_separation,0.052651976525301736,0.31609177124038096,0.4219438670428544,-0.10585209580247346,2
iforest,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.29935769343746704,synthetic_separation,0.06496292671910874,0.29961624841396867,0.4219438670428544,-0.12232761862888575,2
iforest,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.29937863562190437,synthetic_separation,0.007376227700942073,0.29983489579295985,0.4219438670428544,-0.12210897124989456,2
iforest,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,0.29935769343746704,synthetic_separation,0.06496292671910874,0.29961624841396867,0.4219438670428544,-0.12232761862888575,2
ocsvm,real_only,real_only,fixed_policy,False,34.91759209721172,synthetic_separation,,,8.044618681994132,,2
ocsvm,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.0,synthetic_separation,0.10003681691474255,0.08441663246069252,8.044618681994132,-7.960202049533439,2
ocsvm,cross_dataset_all,cross_dataset_all,fixed_policy,False,38.779598681785586,synthetic_separation,0.07079646017699115,1.6786959497442,8.044618681994132,-6.365922732249932,2
ocsvm,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.0,synthetic_separation,0.052651976525301736,0.0,8.044618681994132,-8.044618681994132,2
ocsvm,compatibility_strict,compatibility_strict,fixed_policy,False,0.0,synthetic_separation,0.005867999070415989,0.0,8.044618681994132,-8.044618681994132,2
ocsvm,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.0,synthetic_separation,0.052651976525301736,0.13772637683976233,8.044618681994132,-7.906892305154369,2
ocsvm,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.0,synthetic_separation,0.052651976525301736,0.0,8.044618681994132,-8.044618681994132,2
ocsvm,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.0,synthetic_separation,0.005867999070415989,0.0,8.044618681994132,-8.044618681994132,2
ocsvm,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,0.0,synthetic_separation,0.052651976525301736,0.0,8.044618681994132,-8.044618681994132,2
lof,real_only,real_only,fixed_policy,False,7043556266447.13,synthetic_separation,,,770430556916.1093,,2
lof,random_event_oversampling,random_event_oversampling,fixed_policy,False,1.4062548334185314,synthetic_separation,0.10190541000340252,9486.443563355642,770430556916.1093,-770430547429.6656,2
lof,cross_dataset_all,cross_dataset_all,fixed_policy,False,1.2699555206037956,synthetic_separation,0.07271695512950428,3.0269933217256373,770430556916.1093,-770430556913.0823,2
lof,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,1.465331903552601,synthetic_separation,0.08071748878923767,3797433.78375572,770430556916.1093,-770426759482.3254,2
lof,compatibility_strict,compatibility_strict,fixed_policy,False,1.4920347492414512,synthetic_separation,0.009309385277004806,2.8541553228766525,770430556916.1093,-770430556913.2551,2
lof,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,1.2699555206037956,synthetic_separation,0.07216996432046707,3.1053531847149065,770430556916.1093,-770430556913.0039,2
lof,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,1.465331903552601,synthetic_separation,0.08071748878923767,3797433.7847395414,770430556916.1093,-770426759482.3245,2
lof,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,1.4920347492414512,synthetic_separation,0.009309385277004806,2.8541553228766525,770430556916.1093,-770430556913.2551,2
